object_type,materials,n,made_of (primary),made_of (support),classified_as (object type) (primary),classified_as (object type) (secondary),technique,editorial notes,
Dessin,"encre de la Chine, & lavé",1,,,,,,,
Dessin,"encre de la Chine, réhaussé de blanc",1,,,,,,,
Dessin,"encre de la Chine, réhaussé de blanc sur papier bleu",1,,,,,,,
Dessin,"encre de la Chine, rehaussé de blanc, sur papier blanc",1,,,,,,,
Dessin,"encre de la Chine, rehaussée de blanc sur papier bleu",1,,,,,,,
Dessin,"encre et bistre, sur papier blanc",1,,,,,,,
Dessin,encre et lavé de bistre,1,,,,,,,
Dessin,encre et pinceau,1,,,,,,,
Dessin,encre et rehaussé de blanc,1,,,,,,,
Dessin,encre et rehaussé de blanc sur papier,1,,,,,,,
Dessin,"encre et rehauts de blanc, sur papier bleu",1,,,,,,,
Dessin,encre mêlé de bistre,1,,,,,,,
Dessin,encre sur papier blanc,1,,,,,,,
Dessin,"encre, bistre et lavis gris",1,,,,,,,
Dessin,"encre, bistre, lavis indigo et rehauts de blanc",1,,,,,,,
Dessin,"encre, blanc, papier gris",1,,,,,,,
Dessin,"encre, lavé au bistre, rehaussé de blanc, sur papier bleu",1,,,,,,,
Dessin,"encre, lavis d'encre & de bistre",1,,,,,,,
Dessin,"encre, rehauts de blanc et légérement colorié",1,,,,,,,
Dessin,"encre, sanguine & lavis de bistre",1,,,,,,,
Dessin,"encre, sur papier blanc",1,,,,,,,
Dessin,encres,1,,,,,,,
Dessin,endre de Chine sur papier blanc,1,,,,,,,
Dessin,enluminées,1,,,,,,,
Dessin,enluminés,1,,,,,,,
Dessin,esquisse à l'huile,1,,,,,,,
Dessin,essence sur papier blanc,1,,,,,,,
Dessin,"est à la plume, & lavé de bistre.",1,,,,,,,
Dessin,estampe retouchée à la plume & au lavis,1,,,,,,,
Dessin,estompé,1,,,,,,,
Dessin,estompé à la sanguine,1,,,,,,,
Dessin,estompé en rouge,1,,,,,,,
Dessin,estompe rehaussé de blanc sur papier brun,1,,,,,,,
Dessin,fait au bistre,1,,,,,,,
Dessin,fait aux crayons noir & blanc,1,,,,,,,
Dessin,"faits à la presto, & à la sanguine",1,,,,,,,
Dessin,faits aux craïons noir sur papier bleu,1,,,,,,,
Dessin,fer-blanc & carton,1,,,,,,,
Dessin,feuilles de papier des Indes,1,,,,,,,
Dessin,feuilles de velin,1,,,,,,,
Dessin,fini au pinceau avec du noir & du blanc sur papier bleu,1,,,,,,,
Dessin,fusain et rehaut de blanc,1,,,,,,,
Dessin,fusain sur papier bleu,1,,,,,,,
Dessin,"fusain, rehauts de blanc sur papier bleu",1,,,,,,,
Dessin,fusin & craïon blanc sur papier bleu,1,,,,,,,
Dessin,fusin & crayon blanc,1,,,,,,,
Dessin,fusin & crayon blanc sur papier teinté de rouge,1,,,,,,,
Dessin,fusin & lavé de bistre,1,,,,,,,
Dessin,fusin & sanguine,1,,,,,,,
Dessin,fusin avec un peu de pastel sur papier bleu,1,,,,,,,
Dessin,fusin et crayon blanc sur papier,1,,,,,,,
Dessin,fusin et rehauts de blanc,1,,,,,,,
Dessin,fusin et sanguine,1,,,,,,,
Dessin,fusin rehaussé de blanc,1,,,,,,,
Dessin,fusin rehaussé de blanc au pinceau sur papier blanc,1,,,,,,,
Dessin,fusin sur papier blanc.,1,,,,,,,
Dessin,"fusin, lavé à l'encre sur papier blanc",1,,,,,,,
Dessin,"fusin, plume & lavé",1,,,,,,,
Dessin,"fusin, sur papier gris",1,,,,,,,
Dessin,goauche sur vélin,1,,,,,,,
Dessin,gomme & coloré,1,,,,,,,
Dessin,gomme sur Vélin,1,,,,,,,
Dessin,gouache & coloré,1,,,,,,,
Dessin,gouache & colorié,1,,,,,,,
Dessin,gouache & couleur,1,,,,,,,
Dessin,gouache & paille,1,,,,,,,
Dessin,gouache & pastel,1,,,,,,,
Dessin,gouache coloré,1,,,,,,,
Dessin,gouache en couleur sur vélin,1,,,,,,,
Dessin,gouache en vernis,1,,,,,,,
Dessin,gouache et coloré,1,,,,,,,
Dessin,gouache sur ivoire,1,,,,,,,
Dessin,gouache sur papier Turc,1,,,,,,,
Dessin,gouache sur planches de sapin,1,,,,,,,
Dessin,gouache sur satin,1,,,,,,,
Dessin,gouache sur taffetas,1,,,,,,,
Dessin,gouache sur vélin collé sur bois,1,,,,,,,
Dessin,gouache sur vélin et coloré,1,,,,,,,
Dessin,"gouache, sur toile",1,,,,,,,
Dessin,Gouaches,1,,,,,,,
Dessin,gouoache,1,,,,,,,
Dessin,goût du,1,,,,,,,
Dessin,grisaille & lavé de blanc sur papier gris,1,,,,,,,
Dessin,grisaille à huile,1,,,,,,,
Dessin,grisaille rehaussé de blanc,1,,,,,,,
Dessin,grisaille rehaussée de blanc sur papier,1,,,,,,,
Dessin,grisaille sur papier brun,1,,,,,,,
Dessin,grisaille sur toile,1,,,,,,,
Dessin,"grisaille, sanguine",1,,,,,,,
Dessin,"grisaille, sur toile",1,,,,,,,
Dessin,huile & coloré,1,,,,,,,
Dessin,huile & coloriée,1,,,,,,,
Dessin,huile en grisaille,1,,,,,,,
Dessin,huile et rehaussé de blanc sur papier,1,,,,,,,
Dessin,huile sur papier & coloré,1,,,,,,,
Dessin,huile sur papier blanc,1,,,,,,,
Dessin,"huile sur papier couleur de bistre, rehaussé de blanc",1,,,,,,,
Dessin,"huile, plume, et lavé à l'encre",1,,,,,,,
Dessin,"huile, sur papier",1,,,,,,,
Dessin,"huile, sur papier couleur de bistre, rehaussé de blanc",1,,,,,,,
Dessin,indigo,1,,,,,,,
Dessin,indigo & rehauts de blanc,1,,,,,,,
Dessin,indigo et rehauts de blanc,1,,,,,,,
Dessin,indigo rehaussé de blanc,1,,,,,,,
Dessin,l'encre de chine,1,,,,,,,
Dessin,l'encre de Chine,1,,,,,,,
Dessin,l'encre de la chine,1,,,,,,,
Dessin,"l'encre de la Chine, rehaussée de blanc, sur papier brun",1,,,,,,,
Dessin,l'encre et sur papier,1,,,,,,,
Dessin,l'encre et sur vélin,1,,,,,,,
Dessin,"l'encre, bistre, et rehaussé de blanc",1,,,,,,,
Dessin,"l'encre, rehaussé de blanc, et coloré",1,,,,,,,
Dessin,"l'encre, rehaussé de blanc, sur papier",1,,,,,,,
Dessin,l'huile sur papier,1,,,,,,,
Dessin,l'un peint à la gouache ; l'autre légèrement à quarellé,1,,,,,,,
Dessin,"la plume & encre de la Chine, rehaussée de blanc, sur papier blanc",1,,,,,,,
Dessin,la plume & lavé d'encre de la Chine,1,,,,,,,
Dessin,la plume lavé à l'encre de la Chine sur papier blanc,1,,,,,,,
Dessin,"la plume, lavé à l'encre de la Chine, sur fond blanc",1,,,,,,,
Dessin,"la plume, lavée au bistre & de rouge sur papier blanc",1,,,,,,,
Dessin,la plupart en grisaille,1,,,,,,,
Dessin,lavé  l'encre de Chine sur papier bleu,1,,,,,,,
Dessin,lavé & colorié,1,,,,,,,
Dessin,lavé & rehaussé,1,,,,,,,
Dessin,lavé & rehaussé de blanc ; le second au bistre,1,,,,,,,
Dessin,"lavé & rehaussé de blanc, au pinceau, sur papier bleu",1,,,,,,,
Dessin,lavé à k'encre de la Chine,1,,,,,,,
Dessin,lavé à l'ancre & au bistre,1,,,,,,,
Dessin,lavé à l'aquarelle sur papier blanc,1,,,,,,,
Dessin,"lavé à l'ence de la Chine, sur papier blanc",1,,,,,,,
Dessin,"lavé à l'encre & rehaussé de blanc, et sur papier brun",1,,,,,,,
Dessin,lavé à l'encre coloré,1,,,,,,,
Dessin,lavé à l'encre de Chine & colorié,1,,,,,,,
Dessin,lavé à l'encre de Chine et au bistre sur papier blanc,1,,,,,,,
Dessin,lavé à l'encre de chine et bistre,1,,,,,,,
Dessin,lavé à l'encre de Chine et bistre,1,,,,,,,
Dessin,lavé à l'encre de Chine et coloré,1,,,,,,,
Dessin,lavé à l'encre de chine et lavée,1,,,,,,,
Dessin,lavé à l'encre de chine et rehaussé de blanc,1,,,,,,,
Dessin,lavé à l'encre de chine et rehaussé de blanc sur papier rose,1,,,,,,,
Dessin,lavé à l'encre de chine et sur papier de soie,1,,,,,,,
Dessin,lavé à l'encre de Chine rehaussé de blanc,1,,,,,,,
Dessin,"lavé à l'encre de Chine, rehaussé de blanc",1,,,,,,,
Dessin,"lavé à l'encre de chine, rehaussée de blanc sur papier gris",1,,,,,,,
Dessin,lavé à l'encre de la chine,1,,,,,,,
Dessin,lavé à l'encre de la Chine &  rehaussé de blanc sur papier bleu,1,,,,,,,
Dessin,lavé à l'encre de la Chine & au crayon noir sur papier blanc,1,,,,,,,
Dessin,lavé à l'encre de la Chine et rehaussé de blanc sur papier gris,1,,,,,,,
Dessin,lavé à l'encre de la Chine mêlé de bistre,1,,,,,,,
Dessin,lavé à l'encre de la Chine ou de bistre ou au crayon,1,,,,,,,
Dessin,lavé à l'encre de la Chine rehaussé de blanc sur papier gris,1,,,,,,,
Dessin,lavé à l'encre de la Chine rehaussé de blanc sur papier gris d'ardoise,1,,,,,,,
Dessin,lavé à l'encre de la chine sur papier blanc tracé à la plume,1,,,,,,,
Dessin,"lavé à l'encre de la Chine sur papier blanc, et à la plume, en couleur de bistre",1,,,,,,,
Dessin,lavé à l'encre de la Chine sur papier gris,1,,,,,,,
Dessin,lavé à l'encre de la Chine sur papier jaune,1,,,,,,,
Dessin,lavé à l'encre de la Chine sur velin,1,,,,,,,
Dessin,"lavé à l'encre de la Chine, & terminé à la pierre noire",1,,,,,,,
Dessin,"lavé à l'encre de la Chine, et rehaussé de blanc sur papier gris",1,,,,,,,
Dessin,"lavé à l'encre de la Chine, rehaussé de blanc",1,,,,,,,
Dessin,"lavé à l'encre de la Chine, réhaussé de blanc",1,,,,,,,
Dessin,"lavé à l'encre de la Chine, sur papier",1,,,,,,,
Dessin,"lavé à l'encre de la chine, sur papier gris",1,,,,,,,
Dessin,"lavé à l'encre de la Chine, sur papier gris",1,,,,,,,
Dessin,"lavé à l'encre de la Chine, sur papier velin",1,,,,,,,
Dessin,lavé à l'encre de la Chine.,1,,,,,,,
Dessin,lavé à l'encre de la Fhine,1,,,,,,,
Dessin,lavé à l'encre dela Chine,1,,,,,,,
Dessin,lavé à l'encre et mêlé de couleur,1,,,,,,,
Dessin,"lavé à l'encre mêlée de bistre, coloré, et sur papier",1,,,,,,,
Dessin,lavé à l'encre rehausé rehaussé de blanc,1,,,,,,,
Dessin,lavé à l'encre sur papier,1,,,,,,,
Dessin,lavé à l'encre sur papier gris,1,,,,,,,
Dessin,lavé à l'encre ur papier blanc,1,,,,,,,
Dessin,"lavé à l'encre, au bistre & au crayon blanc et sur papier",1,,,,,,,
Dessin,"lavé à l'encre, bistre, et rehaussé de blanc",1,,,,,,,
Dessin,"lavé à l'encre, coloré, et rehaussé d'or",1,,,,,,,
Dessin,"lavé à l'encre, rehaussé de blanc sur papier bleu",1,,,,,,,
Dessin,"lavé à l'encre, rehaussé de blanc, et sur papier",1,,,,,,,
Dessin,lavé à l'indigo,1,,,,,,,
Dessin,lavé à l'indigo & fait à la plume,1,,,,,,,
Dessin,lavé à l'indigo & rehaussé de blanc,1,,,,,,,
Dessin,lavé à l'indigo sur papier blanc,1,,,,,,,
Dessin,lavé à la la sanguine,1,,,,,,,
Dessin,lavé à la plume,1,,,,,,,
Dessin,lavé à la sanguine & au bistre rehaussé de blanc,1,,,,,,,
Dessin,lavé à la sanguine rehaussé de blanc,1,,,,,,,
Dessin,lavé à la sanguine sur papier blanc,1,,,,,,,
Dessin,lavé à la terre d'ombre,1,,,,,,,
Dessin,lavé au  bistre,1,,,,,,,
Dessin,lavè au bistre,1,,,,,,,
Dessin,lavé au bistre & à l'encre de la chine sur papier blanc,1,,,,,,,
Dessin,lavé au bistre & à la sanguine,1,,,,,,,
Dessin,lavé au bistre & à la sanguine sur papier blanc,1,,,,,,,
Dessin,lavé au bistre & colorié,1,,,,,,,
Dessin,lavé au bistre & dessiné à la plume,1,,,,,,,
Dessin,lavé au bistre & encre de la Chine,1,,,,,,,
Dessin,lavé au bistre & rehaussé de blanc sur papier gris,1,,,,,,,
Dessin,lavé au bistre & rehaussé de blanc.,1,,,,,,,
Dessin,lavé au bistre & sanguine sur papier,1,,,,,,,
Dessin,lavé au bistre avec de l'encre de la Chine,1,,,,,,,
Dessin,lavé au bistre et à l'encre de la Chine sur papier blanc,1,,,,,,,
Dessin,lavé au bistre et encre de chine sur papier,1,,,,,,,
Dessin,lavé au bistre et rehaussé de blanc sur papier bleu,1,,,,,,,
Dessin,lavé au bistre et rehaussée de blanc,1,,,,,,,
Dessin,lavé au bistre mêlé d'un peu de couleur,1,,,,,,,
Dessin,lavé au bistre mêlé de crayon rouge & rehaussé de blanc,1,,,,,,,
Dessin,lavé au bistre mêlé de sanguine,1,,,,,,,
Dessin,"lavé au bistre, & colorié",1,,,,,,,
Dessin,"lavé au bistre, & rehaussé de blanc sur papier blanc",1,,,,,,,
Dessin,"lavé au bistre, & réhaussé de blanc, sur papier gris",1,,,,,,,
Dessin,"lavé au bistre, & rehaussés de blanc",1,,,,,,,
Dessin,"lavé au bistre, mêlé de sanguine",1,,,,,,,
Dessin,"lavé au bistre, réhaussé de blanc",1,,,,,,,
Dessin,"lavé au bistre, réhaussé de blanc sur papier gris",1,,,,,,,
Dessin,"lavé au bistre, rehaussé de blanc, et sur papier",1,,,,,,,
Dessin,"lavé au bistre, rehaussé de blanc, sur papier bleu",1,,,,,,,
Dessin,"lavé au crayon rouge, & rehaussé de blanc, sur papier blanc",1,,,,,,,
Dessin,lavé avec grand art & effet à l'encre de la Chine,1,,,,,,,
Dessin,lavé d'Aquarelle,1,,,,,,,
Dessin,lavé d'aquarelle et rehaussé de blanc,1,,,,,,,
Dessin,"lavé d'aquarelle, sur papier blanc",1,,,,,,,
Dessin,lavé d'encre & rehaussé de blanc,1,,,,,,,
Dessin,lavé d'encre à la Chine,1,,,,,,,
Dessin,lavé d'encre de la Chine sur papier blanc,1,,,,,,,
Dessin,"lavé d'encre de la Chine, mêlé de bistre",1,,,,,,,
Dessin,"lavé d'encre de la Chine, sur velin",1,,,,,,,
Dessin,"lavé d'encre, & coloré",1,,,,,,,
Dessin,"lave d'encre, sur vélin",1,,,,,,,
Dessin,lavé d'une teinte de verd,1,,,,,,,
Dessin,lavé de bistre & rehaussé de blanc sur papier bleu,1,,,,,,,
Dessin,lavé de bistre & rehaussé de blanc sur papier gris,1,,,,,,,
Dessin,lave de bistre et coloré,1,,,,,,,
Dessin,lavé de bistre et crayon sur papier,1,,,,,,,
Dessin,lavé de bistre et d'encre de la Chine sur papier blanc et gris rehaussé de blanc,1,,,,,,,
Dessin,lavé de bistre et rehaussé de blanc sur papier brun,1,,,,,,,
Dessin,lavé de bistre et rehaussé de blanc sur papier gris,1,,,,,,,
Dessin,lavé de Bistre rehaussé de blanc sur papier gris,1,,,,,,,
Dessin,lavé de bistre sur fond blanc,1,,,,,,,
Dessin,lavé de bistre sur papier gris,1,,,,,,,
Dessin,lavé de bistre sur papier roussâtre,1,,,,,,,
Dessin,"lavé de bistre, & au crayon sur papier blanc",1,,,,,,,
Dessin,"lavé de bistre, rehaussé de blanc au pinceau",1,,,,,,,
Dessin,"lavé de bistre, sur papier blanc",1,,,,,,,
Dessin,lavé de l'encre de la Chine,1,,,,,,,
Dessin,lavé de la couleur,1,,,,,,,
Dessin,lavé de sanguine sur papier blanc,1,,,,,,,
Dessin,lavé en camailleux bleu,1,,,,,,,
Dessin,lavé en Camayeux bleu & réhaussé de blanc sur papier bleu,1,,,,,,,
Dessin,lavé et colorié,1,,,,,,,
Dessin,lavé et rehaussé au pinceau,1,,,,,,,
Dessin,lavé et rehuassé de blanc sur papier,1,,,,,,,
Dessin,lavé légérement au bistre sur papier blanc,1,,,,,,,
Dessin,lavé sur papier teinté,1,,,,,,,
Dessin,lavé sur velin,1,,,,,,,
Dessin,"lavé, rehaussé de blanc",1,,,,,,,
Dessin,lavée & coloriée,1,,,,,,,
Dessin,lavée & rehaussée d'un peu de blanc,1,,,,,,,
Dessin,lavée à l'encre de la Chine,1,,,,,,,
Dessin,lavée à l'encre de la chine & rehaussée de blanc sur papier bleu,1,,,,,,,
Dessin,lavée à l'encre de la Chine sur papier blanc,1,,,,,,,
Dessin,"lavée à l'encre de la Chine, & au bistre",1,,,,,,,
Dessin,"lavée à la sanguine & au bistre, sur papier blanc",1,,,,,,,
Dessin,lavée au bistre & rehaussée de blanc,1,,,,,,,
Dessin,lavée au bistre et rehaussée de blanc,1,,,,,,,
Dessin,"lavée au bistre, rehaussée de blanc sur papier gris",1,,,,,,,
Dessin,lavée d'encre & de bistre,1,,,,,,,
Dessin,lavée de bistre & rehaussée de blanc sur fond jaune,1,,,,,,,
Dessin,lavée de bistre un peu coloré,1,,,,,,,
Dessin,"lavée de rouge, rehaussée de blanc au pinceau",1,,,,,,,
Dessin,lavée en couleurs,1,,,,,,,
Dessin,"lavées & coloriées, sur papier blanc",1,,,,,,,
Dessin,lavées à l'aquarella,1,,,,,,,
Dessin,lavées à l'encre,1,,,,,,,
Dessin,lavées à l'encre & rehaussées de blanc,1,,,,,,,
Dessin,lavées à l'encre de la Chine,1,,,,,,,
Dessin,lavées d'Encre de la Chine,1,,,,,,,
Dessin,lavées d'encre de la Chine rehaussée de blanc,1,,,,,,,
Dessin,lavés & colorié,1,,,,,,,
Dessin,lavés à l'aquarelle.,1,,,,,,,
Dessin,"lavés à l'encre & au bistre, dont cinq rehaussés de blanc",1,,,,,,,
Dessin,lavés à l'encre de Chine,1,,,,,,,
Dessin,lavés à l'encre de la Chine & terminés à la pierre noire sur papier blanc,1,,,,,,,
Dessin,"lavés à l'encre de la Chine & terminés à la pierre noire, sur papier blanc",1,,,,,,,
Dessin,lavés à l'encre de la Chine &rehaussés de blanc,1,,,,,,,
Dessin,lavés à l'encre de la Chine sur papier blanc,1,,,,,,,
Dessin,"lavés à l'encre de la Chine, & rehaussés de blanc",1,,,,,,,
Dessin,"lavés à l'encre de la Chine, mêlés de bistre sur papier blanc",1,,,,,,,
Dessin,"lavés à l'encre de la Chine, rehaussé de blanc, sur papier bleu",1,,,,,,,
Dessin,"lavés à l'encre de la Chine, sur papier blanc",1,,,,,,,
Dessin,lavés au bistre & dessinés à la sanguine,1,,,,,,,
Dessin,lavés au bistre & rehaussés de blanc,1,,,,,,,
Dessin,"lavés avec soin à l'encre de la Chine, & rehaussés de blanc",1,,,,,,,
Dessin,lavés d'aquarelle & rehaussés de blanc,1,,,,,,,
Dessin,lavés d'encre & de bistre,1,,,,,,,
Dessin,lavés d'encre de la Chine,1,,,,,,,
Dessin,"lavés d'Encre de la Chine, & au crayon noir",1,,,,,,,
Dessin,"lavés de biste, sur papier blanc",1,,,,,,,
Dessin,lavés de bistre sur papier blanc,1,,,,,,,
Dessin,lavés de sanguine,1,,,,,,,
Dessin,lavés de sanguine & d'encre de la Chine,1,,,,,,,
Dessin,lavés dont sept rehaussés de blanc,1,,,,,,,
Dessin,lavés et à la plume,1,,,,,,,
Dessin,lavés et rehaussés de blanc,1,,,,,,,
Dessin,"lavés, de sanguine",1,,,,,,,
Dessin,lavis  rehaussé de blanc,1,,,,,,,
Dessin,lavis & colorée,1,,,,,,,
Dessin,lavis & pierre noire,1,,,,,,,
Dessin,lavis & rehauts de blanc,1,,,,,,,
Dessin,lavis & rehauts de blanc sur papier bistré,1,,,,,,,
Dessin,"lavis à l'encre de Chine et au bistre, sur papier blanc",1,,,,,,,
Dessin,lavis à l'encre de Chine et colorié,1,,,,,,,
Dessin,lavis à l'encre de Chine et rehauts de blanc,1,,,,,,,
Dessin,"lavis à l'encre de Chine, rehauts de blanc et d'indigo sur papier gris",1,,,,,,,
Dessin,"lavis à l'encre de chine, rehauts de blanc, sur papier bleu",1,,,,,,,
Dessin,"lavis à l'encre de Chine, rehauts de blanc, sur papier bleu",1,,,,,,,
Dessin,"lavis à l'encre de la Chine, sur papier blanc",1,,,,,,,
Dessin,lavis à l'encre et lavis bistre,1,,,,,,,
Dessin,lavis à l'encre et rehauts de blanc,1,,,,,,,
Dessin,"lavis à l'encre, sur papier gris",1,,,,,,,
Dessin,lavis à la plume et à l'encre de la Chine sur papier blanc,1,,,,,,,
Dessin,"lavis à la plume et au bistre, rehaussé de blanc",1,,,,,,,
Dessin,lavis à la sanguine et rehauts de blanc,1,,,,,,,
Dessin,"lavis à la sanguine et rehauts de blanc, sur papier bleu",1,,,,,,,
Dessin,lavis au bistre,1,,,,,,,
Dessin,lavis au bistre rehaussé de blanc,1,,,,,,,
Dessin,lavis au bistre sur papier blanc,1,,,,,,,
Dessin,lavis bistre et lavis indigo,1,,,,,,,
Dessin,lavis bistre pour deux dessins,1,,,,,,,
Dessin,"lavis bistre, rehauts de blanc et légérement colorié",1,,,,,,,
Dessin,"lavis bistre, rehauts de blanc sur papier blanc",1,,,,,,,
Dessin,"lavis bistre, rehauts de blanc, sur papier bistré",1,,,,,,,
Dessin,"lavis bistre, rehauts de blanc, sur papier gris",1,,,,,,,
Dessin,"lavis bistre, sur papier gris",1,,,,,,,
Dessin,lavis bitre et à l'encre de Chine sur papier blanc,1,,,,,,,
Dessin,lavis coloré,1,,,,,,,
Dessin,lavis d'aquarelle,1,,,,,,,
Dessin,lavis d'encre & de carmin,1,,,,,,,
Dessin,lavis d'encre & rehauts de blanc sur papier bleu,1,,,,,,,
Dessin,lavis d'encre de chine & bistre,1,,,,,,,
Dessin,lavis d'encre de chine & légeremnt coloré,1,,,,,,,
Dessin,lavis d'encre de chine rehaussé de blanc,1,,,,,,,
Dessin,lavis d'encre de chine sur vélin,1,,,,,,,
Dessin,lavis d'encre et lavis indigo,1,,,,,,,
Dessin,lavis d'encre sur papier,1,,,,,,,
Dessin,lavis de bistre & coloré,1,,,,,,,
Dessin,lavis de bistre & d'encre,1,,,,,,,
Dessin,lavis de bistre & pierre noire,1,,,,,,,
Dessin,lavis de bistre & rehaut de blanc,1,,,,,,,
Dessin,Lavis de bistre & rehauts de blanc,1,,,,,,,
Dessin,lavis de bistre et rehauts de blanc,1,,,,,,,
Dessin,Lavis de bistre rehaussé de blanc au pinceau,1,,,,,,,
Dessin,lavis de bistre rehaussé de blanc sur papier bleu,1,,,,,,,
Dessin,lavis de bistre rehaussé de blanc sur papier brun,1,,,,,,,
Dessin,lavis de bistre sur papier jaune,1,,,,,,,
Dessin,"lavis de bistre sur papier jaune, rehaussé de blanc",1,,,,,,,
Dessin,lavis de bsitre,1,,,,,,,
Dessin,lavis de chine & pierre noire sur papier blanc,1,,,,,,,
Dessin,lavis de couleur sur vélin,1,,,,,,,
Dessin,lavis de crayon noir sur papier gris,1,,,,,,,
Dessin,lavis de sanguine & de bistre,1,,,,,,,
Dessin,lavis de sanguine sur papier gris,1,,,,,,,
Dessin,"lavis de sanguine, plume",1,,,,,,,
Dessin,"lavis de sanguine, rehaussé de blanc",1,,,,,,,
Dessin,"lavis en couleurs, sur papier bleu",1,,,,,,,
Dessin,lavis et huile,1,,,,,,,
Dessin,lavis et rehaussé de blanc au pinceau,1,,,,,,,
Dessin,lavis gris et rehauts de blanc,1,,,,,,,
Dessin,"lavis gris et rehauts de blanc, sur papier bleu",1,,,,,,,
Dessin,lavis indigo,1,,,,,,,
Dessin,lavis sur vélin,1,,,,,,,
Dessin,"lavis, pierre noire et rehaus de blanc",1,,,,,,,
Dessin,légérement colorié & lavés,1,,,,,,,
Dessin,légèrement colorié sur papier blanc,1,,,,,,,
Dessin,légérement lavés à l'aquarelle,1,,,,,,,
Dessin,légeremnt coloré,1,,,,,,,
Dessin,"les unes à la plume, les autres à la pierre noire",1,,,,,,,
Dessin,"les uns à la sanguine, les autres à la plume",1,,,,,,,
Dessin,livret,1,,,,,,,
Dessin,lume & lavé,1,,,,,,,
Dessin,lume et lavé,1,,,,,,,
Dessin,"marbr la plume, au bistre & à la sanguine",1,,,,,,,
Dessin,"Matriaux : pierre noire, encre, rehauts de blanc et de gris, couleur sur papier gris.",1,,,,,,,
